City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,2.56,89,100,1.78,GL,1693413665
1,aba,5.1066,7.3667,23.79,87,100,4.21,NG,1693413564
2,acaponeta,22.4964,-105.3594,32.43,62,81,1.51,MX,1693413665
3,acapulco de juarez,16.8634,-99.8901,30.9,66,40,2.06,MX,1693413566
4,adamstown,-25.066,-130.1015,21.01,92,100,8.36,PN,1693413666
5,afaahiti,-17.75,-149.2833,21.93,80,100,3.91,PF,1693413666
6,akureyri,65.6835,-18.0878,11.96,71,20,4.63,IS,1693413666
7,al burayqah,30.4062,19.5739,26.88,68,38,7.37,LY,1693413666
8,al jawf,29.5,38.75,30.8,18,0,5.17,SA,1693413666
9,alakurtti,66.9672,30.3491,13.75,83,98,1.61,RU,1693413666
10,alavus,62.5833,23.6167,14.07,97,100,3.18,FI,1693413666
11,albany,42.6001,-73.9662,24.77,70,44,0.89,US,1693413666
12,aldan,58.6031,125.3894,14.47,74,41,1.59,RU,1693413666
13,alice springs,-23.7,133.8833,10.75,50,0,2.57,AU,1693413666
14,alice town,25.7167,-79.3,29.7,83,18,9.73,BS,1693413368
15,aligudarz,33.4006,49.6949,18.98,22,0,1.55,IR,1693413667
16,alo,7.4178,6.7371,26.67,88,100,1.59,NG,1693413667
17,alofi,-19.0595,-169.9187,17.94,82,93,0.51,NU,1693413668
18,alta,69.9689,23.2717,13.59,84,20,5.66,NO,1693413668
19,amarpatan,24.3167,80.9833,26.72,65,98,1.67,IN,1693413668
20,ambodifotatra,-16.9833,49.85,23.2,77,74,10.45,MG,1693413668
21,anadyr,64.75,177.4833,8.28,93,75,3.0,RU,1693413668
22,ancud,-41.8697,-73.8203,8.77,68,24,7.79,CL,1693413668
23,anshun,26.25,105.9333,16.76,89,74,1.71,CN,1693413669
24,antofagasta,-23.65,-70.4,17.6,66,37,4.39,CL,1693413455
25,antsiranana,-12.2787,49.2917,23.22,76,2,8.45,MG,1693413669
26,argo,37.6333,22.7333,29.32,35,0,4.04,GR,1693413669
27,arkhangel'sk,64.5401,40.5433,11.96,85,64,1.26,RU,1693413669
28,arkhara,49.4212,130.0842,13.97,96,100,4.9,RU,1693413669
29,arraial do cabo,-22.9661,-42.0278,23.98,83,40,8.23,BR,1693413669
30,as sulayyil,20.4607,45.5779,42.14,12,56,2.82,SA,1693413669
31,asau,46.4333,26.4,17.51,93,80,1.74,RO,1693413669
32,atafu village,-8.5421,-172.5159,28.85,75,61,8.04,TK,1693413669
33,atbara,17.7022,33.9864,37.45,28,82,4.76,SD,1693413669
34,avarua,-21.2078,-159.775,21.03,64,40,2.57,CK,1693413669
35,awjilah,29.1081,21.2869,35.52,20,4,4.89,LY,1693413670
36,axim,4.8699,-2.2405,25.58,85,93,4.41,GH,1693413670
37,aykhal,66.0,111.5,12.73,87,100,12.81,RU,1693413670
38,azul,-36.777,-59.8585,19.13,36,80,6.66,AR,1693413670
39,babayevo,59.3936,35.9371,16.26,79,81,2.57,RU,1693413670
40,badger,64.8,-147.5333,11.66,93,75,2.06,US,1693413670
41,bafq,31.6128,55.4107,33.97,13,1,3.32,IR,1693413670
42,bafra,41.5678,35.9069,24.82,72,0,3.27,TR,1693413670
43,baishishan,43.5833,127.5667,13.3,97,100,1.01,CN,1693413670
44,bamboo flat,11.7,92.7167,27.05,89,40,2.57,IN,1693413670
45,bandarbeyla,9.4942,50.8122,25.61,80,8,14.86,SO,1693413670
46,bandon,51.7469,-8.7425,15.77,82,100,2.39,IE,1693413538
47,bayganin,48.6947,55.8742,17.58,36,83,5.54,KZ,1693413670
48,beledweyne,4.7358,45.2036,28.89,50,99,4.32,SO,1693413670
49,belmonte,-15.8631,-38.8828,27.61,70,42,3.26,BR,1693413671
50,belton,38.812,-94.5319,28.78,56,0,3.6,US,1693413607
51,berezovyy,51.6667,135.7,14.07,75,100,0.62,RU,1693413671
52,bergerac,44.8333,0.5,22.12,64,100,6.69,FR,1693413671
53,berriane,32.8265,3.7669,36.45,10,43,6.42,DZ,1693413671
54,bethel,41.3712,-73.414,27.31,74,40,3.6,US,1693413671
55,betio village,1.358,172.9211,29.02,75,16,5.95,KI,1693413671
56,bhimunipatnam,17.8833,83.4333,28.71,69,100,3.06,IN,1693413671
57,bhind,26.5642,78.7883,30.02,58,26,3.56,IN,1693413671
58,bikenibeu village,1.3673,173.1241,28.98,79,20,1.03,KI,1693413671
59,bilibino,68.0546,166.4372,8.48,95,100,2.84,RU,1693413671
60,bismarck,46.8083,-100.7837,22.48,60,0,8.23,US,1693413671
61,blackmans bay,-43.0167,147.3167,9.83,71,100,4.2,AU,1693413672
62,blenheim,-41.516,173.9528,3.07,89,1,3.39,NZ,1693413672
63,bomi,7.2461,-11.5258,25.84,89,100,1.23,SL,1693413672
64,bontang,0.1333,117.5,25.73,88,41,3.86,ID,1693413672
65,bredasdorp,-34.5322,20.0403,15.89,89,70,1.53,ZA,1693413672
66,brokopondo,4.75,-55.1667,32.09,50,0,0.6,SR,1693413672
67,broome,42.2506,-75.833,23.72,71,75,3.58,US,1693413672
68,bubaque,11.2833,-15.8333,26.62,79,100,6.62,GW,1693413672
69,buka,40.8108,69.1986,23.16,42,81,4.01,UZ,1693413672
70,buulobarde,3.8538,45.5674,26.84,54,84,10.61,SO,1693413672
71,caaguazu,-25.45,-56.0167,29.42,35,0,2.9,PY,1693413672
72,cabo san lucas,22.8909,-109.9124,31.95,76,20,5.14,MX,1693413669
73,caetite,-14.0694,-42.475,27.77,47,51,1.23,BR,1693413672
74,caglayancerit,37.7496,37.2962,26.11,50,53,3.31,TR,1693413673
75,caleta de carquin,-11.0925,-77.6267,21.9,70,24,4.34,PE,1693413673
